id,match_id,league,market_type,prediction,odds_taken,closing_odds,clv_percentage,diamond_score,edge_pct,ev_expected,is_winner,profit_loss,source,created_at,implied_prob,predicted_prob,hours_before_match,data_quality_score,model_uncertainty,steam_move,odds_movement,league_tier,match_importance,reality_score,class_score,context_score,home_tier,away_tier,tier_difference,convergence_status,system_confidence,adjusted_confidence,reality_check_correct,home_form,home_pressing,home_style,home_win_rate,home_draw_rate,home_strength,away_form,away_pressing,away_style,away_win_rate,home_tier_class,home_power,home_big_game,away_tier_class,away_power,away_big_game,got_value,line_movement_pct
2256,4ff6147fc5c6947e4f89c99bf62724dd,,btts_yes,btts_yes,1.58,,,80,6.46,,True,0.58,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,4.2,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,0.0,D,34.0,1.0,,,,0,
2506,e57f7f217063f6afd85888f6b197c1b6,,draw,draw,3.95,,,15,2.38,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-48.7,1,,38.0,20.0,50.0,D,B,-2.0,partial_convergence,38.0,38.0,True,neutral,medium,offensive,0.0,0.0,50.0,neutral,medium,balanced_offensive,28.57,D,34.0,1.0,B,47.8,1.0,0,
2505,e57f7f217063f6afd85888f6b197c1b6,,under_15,under_15,4.0,,,17,2.64,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-48.7,1,,38.0,20.0,50.0,D,B,-2.0,partial_convergence,38.0,38.0,True,neutral,medium,offensive,0.0,0.0,50.0,neutral,medium,balanced_offensive,28.57,D,34.0,1.0,B,47.8,1.0,0,
2504,e57f7f217063f6afd85888f6b197c1b6,,away,away,1.84,,,22,-23.53,,True,0.84,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-48.7,1,,38.0,20.0,50.0,D,B,-2.0,partial_convergence,38.0,38.0,True,neutral,medium,offensive,0.0,0.0,50.0,neutral,medium,balanced_offensive,28.57,D,34.0,1.0,B,47.8,1.0,0,
2503,e57f7f217063f6afd85888f6b197c1b6,,home,home,4.7,,,24,20.85,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-48.7,1,,38.0,20.0,50.0,D,B,-2.0,partial_convergence,38.0,38.0,True,neutral,medium,offensive,0.0,0.0,50.0,neutral,medium,balanced_offensive,28.57,D,34.0,1.0,B,47.8,1.0,0,
2263,4ff6147fc5c6947e4f89c99bf62724dd,,home,home,1.48,,,8,-19.84,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,4.2,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,0.0,D,34.0,1.0,,,,0,
2502,e57f7f217063f6afd85888f6b197c1b6,,under_25,under_25,1.97,,,27,3.28,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-48.7,1,,38.0,20.0,50.0,D,B,-2.0,partial_convergence,38.0,38.0,True,neutral,medium,offensive,0.0,0.0,50.0,neutral,medium,balanced_offensive,28.57,D,34.0,1.0,B,47.8,1.0,0,
2501,e57f7f217063f6afd85888f6b197c1b6,,dc_x2,dc_x2,1.26,,,27,-15.56,,True,0.26,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-48.7,1,,38.0,20.0,50.0,D,B,-2.0,partial_convergence,38.0,38.0,True,neutral,medium,offensive,0.0,0.0,50.0,neutral,medium,balanced_offensive,28.57,D,34.0,1.0,B,47.8,1.0,0,
2500,e57f7f217063f6afd85888f6b197c1b6,,over_15,over_15,1.31,,,53,1.66,,True,0.31,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-48.7,1,,38.0,20.0,50.0,D,B,-2.0,partial_convergence,38.0,38.0,True,neutral,medium,offensive,0.0,0.0,50.0,neutral,medium,balanced_offensive,28.57,D,34.0,1.0,B,47.8,1.0,0,
2264,4ff6147fc5c6947e4f89c99bf62724dd,,draw,draw,4.25,,,2,-1.51,,True,3.25,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,4.2,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,0.0,D,34.0,1.0,,,,0,
